id,umetnik,letnica,naslov,lokacija
T13025,Charles Ginner,"('', 1913, 1913, '')","La Vieille Balayeuse, Dieppe",
T01396,Graham Sutherland OM,"('', 1944, 1944, '')",Study for ‘Horned Forms’,
T00334,Eugène Berman,"('', 1934, 1934, '')",The Jug on the Window,
N05354,Ceri Richards,"('', 1940, 1940, '')",Blossoms,
P01820,James Boswell,"('', 1934, 1934, '')",The Means Test,View by appointment
N05989,Louis Marcoussis,"('', 1929, 1929, '')",Rain,
P01819,James Boswell,"('', 1934, 1934, '')",Leicester Square,View by appointment
T12693,William Roberts,"('', 1919, 1919, '')",Sketch for a River Painting,
T02055,Ceri Richards,"('', 1934, 1934, '')",The Sculptor and his Object,
N05071,Othon Friesz,"('', 1919, 1919, '')",Woman at a Window,
T00798,Ceri Richards,"('', 1937, 1937, '')",The Female Contains All Qualities,
T02192,Naum Gabo,"('c.', 1954, 1954, '')",Linear Form (curved),
T02147,Naum Gabo,"('c.', 1933, 1933, '')",Stone with Collar,
T06543,Pierre Bonnard,"('c.', 1919, 1919, '')",Preparatory Sketch for ‘The Bowl of Milk’,View by appointment
N05619,Walter Richard Sickert,"('', 1915, 1916, '')",Study for ‘The Little Tea Party’,
P11141,Ivor Abrahams,"('', 1976, 1976, '')",A Dream Within a Dream,View by appointment
T00143,Harold Gilman,"('c.', 1913, 1913, '')",Study for ‘Leeds Market’,
P11663,James Boswell,"('', 1935, 1935, '')",His Majesty’s Servants,View by appointment
P11666,James Boswell,"('', 1939, 1939, '')",The Street,View by appointment
T06537,Pierre Bonnard,"('c.', 1919, 1919, '')",Preparatory Sketch for ‘The Bowl of Milk’,View by appointment
P11667,James Boswell,"('', 1939, 1939, '')",The Station,View by appointment
T01325,Michel Larionov,"('c.', 1911, 1912, '')",Rayonist Drawing,
N04738,Walter Bayes,"('', 1933, 1933, '')",Under the Candles: Mr Charles Ginner Presiding,
T00193,Wyndham Lewis,"('', 1920, 1920, '')",Madge Pulsford,
P02002,Naum Gabo,"('', 1950, 1950, '')",[no title],View by appointment
N05263,Spencer Gore,"('c.', 1903, 1903, '')",The Blacksmith’s Shop,View by appointment
P03044,Eric Kennington,"('c.', 1917, 1917, '')",Making Soldiers: Bringing In Prisoners,View by appointment
P03075,Sir William Rothenstein,"('c.', 1917, 1917, '')",The Triumph of Democracy,View by appointment
N05312,Walter Richard Sickert,"('', 1922, 1922, '')",Study for ‘L’Armoire à glace’,
P06597,Ann Travis,"('', 1974, 1974, '')",Bloomsbury Pie,View by appointment
N05671,Edward Ardizzone,"('', 1940, 1940, '')","Priest Begging a Lift in Louvain, May 1940",View by appointment
T04155,Leslie Hurry,"('', 1940, 1940, '')",A Land Unvisited,
N05681,Edward Bawden,"('', 1941, 1941, '')",Burnt Tukl at Gubba,
P80045,Edmund Collein,"('c.', 1927, 1930, '')","Untitled (Material Study, Josef Albers’ Preliminary Course, Bauhaus Dessau)",
T01260,E.L.T. Mesens,"('', 1962, 1962, '')",The Staff,
T02381,Graham Sutherland OM,"('', 1951, 1951, '')",Working Drawing for ‘Origins of the Land’,
P01917,Cecil Collins,"('', 1939, 1939, '')",Landscape,View by appointment
T00839,Henri Gaudier-Brzeska,"('', 1914, 1914, ', cast c.1964')",Garden Ornament,
P79165,Martin Kippenberger,"('', 1996, 1996, '')",Matisse’s Studio Sublet to Spiderman,
T06489,Sir Lawrence Gowing,"('c.', 1944, 1945, '')",Wellington Square,
N05306,Charles Ginner,"('', 1941, 1941, '')",Hartland Point from Boscastle,
N06215,John Nash,"('c.', 1926, 1926, '')",Avoncliffe from the Aqueduct,
T01121,Robert Bevan,"('c.', 1904, 1904, '')",Morning over the Ploughed Fields,
T00560,Peter Rose Pulham,"('?', 1944, 1945, '')","L’Hôtel Sully, Courtyard with Figures",
N05320,James Bolivar Manson,"('c.', 1940, 1940, '')",Pinks in a Vase,
N03873,Charles Ginner,"('', 1923, 1923, '')",From a Hampstead Window,View by appointment
P09130,John Piper,"('', 1978, 1978, '')",[no title],
N05703,Henry Lamb,"('', 1944, 1944, '')",H.R.H. the Prince of Luxembourg,
P01924,Naum Gabo,"('', 1950, 1950, '')",[no title],View by appointment
N05684,Edward Bawden,"('', 1942, 1942, '')",Tobruk: The Harbour,
T01324,Humphrey Jennings,"('', 1939, 1944, '')",The House in the Woods,
P11019,Cecil Collins,"('', 1944, 1944, '')",Self-Portrait,View by appointment
P01925,Naum Gabo,"('', 1950, 1950, '')",[no title],View by appointment
P11661,James Boswell,"('', 1933, 1933, '')",The Fall of London: Looters,View by appointment
P01898,Cecil Collins,"('', 1944, 1944, '')",Island,View by appointment
T01061,John Armstrong,"('', 1967, 1967, '')",Tocsin III,
T02194,Naum Gabo,"('c.', 1957, 1957, '')",Model for Hanging Piece,
P11387,Naum Gabo,"('c.', 1955, 1956, '')",Opus 6,View by appointment
P11392,Naum Gabo,"('', 1965, 1968, '')",Opus 11,View by appointment
T07564,John Dodgson,"('', 1950, 1950, 's')",Market Place,
P01896,Cecil Collins,"('', 1944, 1944, '')",The Voice of the Fool,View by appointment
P01928,Naum Gabo,"('', 1950, 1950, '')",[no title],
P01934,Naum Gabo,"('c.', 1955, 1956, '')",[no title],
T04156,Leslie Hurry,"('', 1941, 1941, '')",The Courtesan,
N05733,Sir Stanley Spencer,"('', 1943, 1944, '')","William McBrearty, Sawyer",
T03056,"John Bigge (Sir John Amherst Selby-Bigge, Bt)","('', 1931, 1931, '')",Dieppe,
P01942,Naum Gabo,"('c.', 1965, 1973, '')",Untitled,View by appointment
T12630,William Roberts,"('', 1920, 1920, '')",The Horsemen,
T12685,William Roberts,"('c.', 1924, 1924, '')",Study for ‘The Happy Family’,View by appointment
P03085,Claude Shepperson,"('c.', 1917, 1917, '')",On Board a Hospital Transport,View by appointment
T06992,Naum Gabo,"('', 1964, 1965, '')",Red Stone,
T04111,Arnold Auerbach,"('', 1928, 1928, '')",Mechanised Head,
P01936,Naum Gabo,"('c.', 1955, 1956, '')",[no title],
P03087,Claude Shepperson,"('c.', 1917, 1917, '')","In Hospital, England",View by appointment
P11664,James Boswell,"('', 1937, 1937, '')",Parr’s Stores,View by appointment
P13007,Josef Albers,"('', 1939, 1939, '')",Delta,
T00026,Harold Gilman,"('c.', 1913, 1913, '')","Study for ‘Canal Bridge, Flekkefjord’",View by appointment
P01946,Naum Gabo,"('', 1970, 1970, '')",[no title],View by appointment
P02006,Naum Gabo,"('', 1955, 1956, '')",[no title],View by appointment
N05682,Edward Bawden,"('', 1941, 1941, '')",View from the Enemy H.Q. at Gubba,
T03891,Victor Reinganum,"('', 1939, 1939, '')",Diagram,
P06241,Duncan Grant,"('', 1973, 1973, '')",Interior,View by appointment
N05459,Robin Ironside,"('c.', 1943, 1943, '')",The Somnambulist,
P01929,Naum Gabo,"('c.', 1955, 1955, '')",[no title],
T00023,Wyndham Lewis,"('c.', 1923, 1923, '')",Portrait Sketch: Seated Woman with Beads,
T03892,Gerald Wilde,"('', 1949, 1949, '')",Fata Morgana,
P03041,Eric Kennington,"('c.', 1917, 1917, '')",Making Soldiers: Ready for Service,View by appointment
T02191,Naum Gabo,"('c.', 1954, 1954, '')",Linear Form (possible part of the model for the First Bijenkorf Project),
T01234,Oto Gutfreund,"('', 1912, 1913, ', cast c.1962–3')",Cubist Bust,
P03023,Sir George Clausen,"('', 1917, 1917, '')",Reconstruction of Belgium,View by appointment
T14160,Marlow Moss,"('', 1935, 1935, '')",White and Yellow,
P11665,James Boswell,"('', 1939, 1939, '')",The Theatre,View by appointment
N05121,Mark Gertler,"('', 1911, 1911, '')",The Artist’s Mother,
P03089,Edmund J. Sullivan,"('', 1917, 1917, '')",Reign of Justice,View by appointment
P11384,Naum Gabo,"('', 1950, 1950, '')",Opus 3,View by appointment
P03019,Sir George Clausen,"('', 1917, 1917, '')",Making Guns: The Great Hammer,View by appointment
P01935,Naum Gabo,"('c.', 1955, 1956, '')",[no title],View by appointment
T00491,Andrew Forge,"('', 1961, 1961, '')",Orange Nude: S. Undressing,
P11235,Julian Trevelyan,"('', 1936, 1936, '')",Symbols of Growth,View by appointment
P09127,John Piper,"('', 1978, 1978, '')",[no title],View by appointment
N04569,Albert Rutherston,"('', 1911, 1911, '')",Paddling,
P03069,Gerald Pryse,"('c.', 1917, 1917, '')","The Fall of Ostend, October 1914",View by appointment
P11017,Cecil Collins,"('', 1944, 1944, '')",The Artist’s Wife Seated in a Tree,View by appointment
N04388,Walter Bayes,"('c.', 1917, 1920, '')",The Ford,
T01261,E.L.T. Mesens,"('', 1960, 1960, '')",Mouvement Immobile II,
T03767,John Skeaping,"('', 1930, 1930, '')",Buffalo,
P01895,Cecil Collins,"('', 1944, 1944, '')",The Fool with a Fish,View by appointment
N05702,Thomas Hennell,"('', 1943, 1943, '')","Slipway, Reykjavik Harbour. August 12, 1943",
N05721,Roland Vivian Pitchforth,"('', 1944, 1944, '')",Gibraltar Harbour with Escort Groups Going To Sea,
N04640,Maurice Lambert,"('exhibited ', 1932, 1932, '')",Swan,
P03070,Gerald Pryse,"('c.', 1917, 1917, '')",The Fall of Ostend: The Digue during Embarkation of the Naval Division from Antwerp,View by appointment
P01930,Naum Gabo,"('c.', 1955, 1956, '')",[no title],View by appointment
P03067,Gerald Pryse,"('c.', 1917, 1917, '')","A Stretcher Party, Champagne, 28 September 1914",View by appointment
P05400,John Piper,"('', 1975, 1975, '')",Foliate Heads I,View by appointment
N05685,Edward Bawden,"('', 1942, 1942, '')","Zghorta, Syria: Panorama of the Camp of the 8th, 10th and 12th Indian Mule Corps; in the Distance Lebanon",
P01918,Cecil Collins,"('', 1939, 1939, '')",Landscape,View by appointment
N05730,Alan Sorrell,"('', 1942, 1942, '')",Up in the Morning Early: RAF Camp 1941,
P08213,Michael Ayrton,"('', 1939, 1939, '')",Au Cirque,View by appointment
N03865,Lucien Pissarro,"('', 1923, 1923, '')","Almond Trees, Le Lavandou",
P03038,Augustus John OM,"('', 1917, 1917, '')",The Dawn,View by appointment
P01304,Julian Trevelyan,"('', 1935, 1971, '')",During the Night,View by appointment
P01916,Cecil Collins,"('', 1939, 1939, '')",Bird Smoking a Pipe,View by appointment
P01922,Naum Gabo,"('', 1950, 1950, '')",[no title],View by appointment
T02170,Naum Gabo,"('', 1929, 1930, '')",Model for ‘Double Relief in a Niche’,
T01099,Charles Ginner,"('', 1937, 1937, '')","Study for ‘Flask Walk, Hampstead, on Coronation Day’",
T04150,Leslie Hurry,"('', 1948, 1948, '')","Medea’s House, Corinth",
N05662,Simon Bussy,"('c.', 1905, 1905, '')",Lady Strachey,
P03063,Charles Pears,"('', 1917, 1917, '')",Transport by Sea: Maintaining Forces Overseas,View by appointment
P08164,Roger Fry,"('', 1930, 1930, '')",Arles sur Tech,View by appointment
P03062,Charles Pears,"('', 1917, 1917, '')",Transport by Sea: Transporting Troops,View by appointment
P03061,Charles Pears,"('', 1917, 1917, '')",Transport by Sea: Supplying the Navy,View by appointment
P03078,Sir William Rothenstein,"('', 1917, 1917, '')",Burning Couch Grass,View by appointment
P08171,Roger Fry,"('', 1930, 1930, '')",A Staircase / Narbonne,View by appointment
T12684,William Roberts,"('c.', 1923, 1923, '')",The Poor Family,
P03064,Charles Pears,"('', 1917, 1917, '')",Transport by Sea: Place of Safety,View by appointment
T03756,Maurice Lambert,"('', 1929, 1929, '')",Man with a Bird,
P03222,Brian Fisher,"('', 1967, 1967, '')",Untitled,View by appointment
P01941,Naum Gabo,"('c.', 1950, 1950, '')",[no title],
T12724,William Roberts,"('c.', 1934, 1934, '')",No! No! Cézanne never used it,View by appointment
N05676,Robert Austin,"('', 1941, 1941, '')",Sewing Worn Parts on Cradle Legs,
P03072,Gerald Pryse,"('c.', 1917, 1917, '')",The Retreat of the 7th Division and 3rd Cavalry at Ypres,View by appointment
P11391,Naum Gabo,"('c.', 1969, 1969, '')",Opus 10,View by appointment
N06033,Mark Gertler,"('', 1917, 1917, '')",Acrobats,
P01822,James Boswell,"('', 1934, 1934, '')","Soldier, Soldier",View by appointment
T12675,William Roberts,"('c.', 1920, 1921, '')",Pimps in a Bar,
P01923,Naum Gabo,"('', 1950, 1950, '')",[no title],
N05258,Albert Rutherston,"('', 1931, 1931, '')","The Pump, Nash End",
P03031,Archibald Standish Hartrick,"('c.', 1917, 1917, '')",Women’s Work: On the Land - Ploughing,View by appointment
P11234,Julian Trevelyan,"('', 1936, 1936, '')",Helicopter,View by appointment
T00760,James Wines,"('', 1965, 1965, '')",Homage to Léger,
P11385,Naum Gabo,"('', 1950, 1950, '')",Opus 4,View by appointment
T00668,J.D. Fergusson,"('', 1925, 1925, '')",Oak Rhythm,
P03086,Claude Shepperson,"('c.', 1917, 1917, '')",Detraining in England,View by appointment
P03039,Eric Kennington,"('c.', 1917, 1917, '')",Making Soldiers: Bayonet Practice,View by appointment
P03033,Archibald Standish Hartrick,"('c.', 1917, 1917, '')",Women’s Work: In the Towns - A Bus Conductress,View by appointment
P02007,Naum Gabo,"('', 1968, 1970, '')",[no title],View by appointment
P11386,Naum Gabo,"('', 1950, 1950, '')",Opus 5,View by appointment
T00440,Robert Henri,"('', 1899, 1899, '')",Market at Concarneau. Verso: Sailing Boats in a Bay,
P01900,Cecil Collins,"('', 1944, 1944, '')",The Pilgrim,View by appointment
P08172,Roger Fry,"('', 1930, 1930, '')","Trinity College Library, Cambridge",View by appointment
P11383,Naum Gabo,"('', 1950, 1950, '')",Opus 2,View by appointment
P11382,Naum Gabo,"('', 1950, 1950, '')",Opus 1,View by appointment
P06243,Duncan Grant,"('', 1973, 1974, '')",Washerwoman,View by appointment
P03066,Gerald Pryse,"('c.', 1917, 1917, '')","The Third Cavalry Division in Ghent, 12 October 1914",View by appointment
P08212,Michael Ayrton,"('', 1939, 1939, '')",Clown,View by appointment
P79914,Iwao Yamawaki,"('', 1930, 1932, '')",Untitled (Portrait of Yamawaki with Paul Oud),
P01947,Naum Gabo,"('c.', 1969, 1969, '')",[no title],View by appointment
T12659,William Roberts,"('c.', 1922, 1925, '')",Study for ‘Christ Driving the Money Changers from the Temple’,
P08173,Roger Fry,"('', 1930, 1930, '')",[title not known],View by appointment
P09151,John Piper,"('', 1944, 1944, '')",i,
T11792,William Roberts,"('c.', 1919, 1919, '')",Sparring Partners,View by appointment
P01921,Naum Gabo,"('', 1950, 1950, '')",[no title],View by appointment
P11233,Julian Trevelyan,"('', 1937, 1937, '')",Abstract,View by appointment
P01823,James Boswell,"('', 1935, 1935, '')",Empire Builders,View by appointment
P01824,James Boswell,"('', 1940, 1940, '')",Quiet Evening,View by appointment
P03083,Claude Shepperson,"('c.', 1917, 1917, '')",Advanced Dressing Station in France,View by appointment
T03732,Henri Gaudier-Brzeska,"('c.', 1913, 1914, ', ?posthumous cast')",Figure,
T13217,On Kawara,"('', 1984, 1984, '')",Jan.1.1984,
P03074,Gerald Pryse,"('c.', 1917, 1917, '')",Indians and Motorbuses near Poperinghe,View by appointment
P03065,Charles Ricketts,"('', 1917, 1917, '')",Italia Redenta,View by appointment
P02005,Naum Gabo,"('', 1950, 1950, '')",[no title],
P01931,Naum Gabo,"('c.', 1955, 1956, '')",[no title],View by appointment
P01927,Naum Gabo,"('', 1950, 1950, '')",[no title],View by appointment
T12705,William Roberts,"('', 1922, 1922, '')",The Tower of Babel,
P08168,Roger Fry,"('', 1930, 1930, '')","Notre Dame, Clermont Ferrand",View by appointment
P01933,Naum Gabo,"('c.', 1955, 1956, '')",[no title],View by appointment
P08211,Michael Ayrton,"('', 1939, 1939, '')",Bearded Head,View by appointment
P03080,Sir William Rothenstein,"('', 1917, 1917, '')",Timber Hauling,View by appointment
P08165,Roger Fry,"('', 1930, 1930, '')","Baroque Altar, Perpignon",View by appointment
P03068,Gerald Pryse,"('c.', 1917, 1917, '')",Untitled (Cavalry Halted under Trees),View by appointment
P03076,Sir William Rothenstein,"('', 1917, 1917, '')",Ploughing,View by appointment
P01897,Cecil Collins,"('', 1944, 1944, '')",Head,View by appointment
T00874,Joseph Konzal,"('', 1963, 1964, '')",Cretan Queen,
P03034,Archibald Standish Hartrick,"('c.', 1917, 1917, '')",Women’s Work: On Munitions - Skilled Work,View by appointment
P08166,Roger Fry,"('', 1930, 1930, '')","Cluny Museum, Paris",View by appointment
P01932,Naum Gabo,"('c.', 1955, 1956, '')",[no title],View by appointment
P03071,Gerald Pryse,"('c.', 1917, 1917, '')",Untitled (Refugees Sheltering among Ruins),View by appointment
P03088,Claude Shepperson,"('c.', 1917, 1917, '')",Convalescence in England,View by appointment
P01939,Naum Gabo,"('', 1956, 1973, '')",[no title],View by appointment
P03035,Archibald Standish Hartrick,"('c.', 1917, 1917, '')",Women’s Work: On Munitions - Dangerous Work (Packing T.N.T.),View by appointment
P03060,Charles Pears,"('', 1917, 1917, '')",Transport by Sea: Maintaining Export Trade,View by appointment
P01943,Naum Gabo,"('', 1965, 1973, '')",Untitled,View by appointment
T00438,Edouard Pignon,"('', 1954, 1954, '')",Men Installing Electric Lines at Vallauris,
P03084,Claude Shepperson,"('c.', 1917, 1917, '')",Casualty Clearing Station in France,View by appointment
P03077,Sir William Rothenstein,"('', 1917, 1917, '')",Drilling,View by appointment
P08170,Roger Fry,"('', 1930, 1930, '')","Rock-cut Church, Saint Emilion",View by appointment
P03081,Sir William Rothenstein,"('', 1917, 1917, '')",Threshing,View by appointment
P01926,Naum Gabo,"('', 1950, 1950, '')",[no title],View by appointment
T06836,Rodrigo Moynihan,"('c.', 1935, 1935, '')",Study,View by appointment
